treatment,replicate,population,timestep,abundance
4,1,1,24,0.9340572098567383
4,1,1,25,1.1506053954145623
4,1,1,26,1.257707009704754
4,1,1,27,0.9368301415584471
4,1,1,28,0.9833914265593473
4,1,1,29,0.968231335696294
4,1,1,30,0.9745596502067484
4,1,2,1,0.6592898337977671
4,1,2,2,0.799139183740956
4,1,2,3,0.9886241194728526
4,1,2,4,1.011612230300554
4,1,2,5,1.1633671105868106
4,1,2,6,0.9302723693359432
4,1,2,7,0.9821765021013636
4,1,2,8,1.2233441984728095
4,1,2,9,0.9259252673379568
4,1,2,10,1.1808373085815924
4,1,2,11,1.020005030845485
4,1,2,12,0.8815654284012285
4,1,2,13,0.8379777242965116
4,1,2,14,0.9767990792677448
4,1,2,15,1.1277402486162647
4,1,2,16,1.128139748267258
4,1,2,17,1.265049036573852
4,1,2,18,1.026004735004879
4,1,2,19,1.127560538309134
4,1,2,20,0.8277115163523954
4,1,2,21,0.9982830461341609
4,1,2,22,0.8519331263324434
4,1,2,23,0.897890038968972
4,1,2,24,1.13696638070593
4,1,2,25,1.0522357599418073
4,1,2,26,1.1745767502508397
4,1,2,27,0.9977769280464639
4,1,2,28,1.0826970681212442
4,1,2,29,0.8863834873143626
4,1,2,30,0.9965421908988432
4,1,3,1,0.7066903180350347
4,1,3,2,0.8522693473463021
4,1,3,3,1.0216993938755456
4,1,3,4,1.20622804243377
4,1,3,5,0.915490765411453
4,1,3,6,1.0164333541359132
4,1,3,7,0.9815867401745796
4,1,3,8,1.1334524810451057
4,1,3,9,1.219902363037866
4,1,3,10,0.9984526425331322
4,1,3,11,0.8710977232845925
4,1,3,12,0.9956267656256992
4,1,3,13,0.8977456591717092
4,1,3,14,1.0887392988161098
4,1,3,15,1.1594472251853887
4,1,3,16,1.1627126649513702
4,1,3,17,0.9777279527526583
4,1,3,18,1.2078821353080846
4,1,3,19,1.2209760393030182
4,1,3,20,0.9207282494218814
4,1,3,21,1.0168363629374062
4,1,3,22,0.9128363592702803
4,1,3,23,0.7805984782627655
4,1,3,24,1.0401906725800065
4,1,3,25,1.056142844281987
4,1,3,26,1.0601583114804454
4,1,3,27,0.9368687187192378
4,1,3,28,1.058643137103044
4,1,3,29,0.9359486438534403
4,1,3,30,1.0256280921452485
4,1,4,1,0.6025623614206305
4,1,4,2,0.7589434126698152
4,1,4,3,0.9574671478726543
4,1,4,4,1.0968048169404854
4,1,4,5,1.123473517112598
4,1,4,6,0.8987138418466134
4,1,4,7,0.8771346010608393
4,1,4,8,1.1552695435257658
4,1,4,9,1.1308504980442855
4,1,4,10,1.0515691426488651
4,1,4,11,0.9232036432884254
4,1,4,12,0.8872427405450406
4,1,4,13,0.949104507727936
4,1,4,14,0.934356704470678
4,1,4,15,1.0299708033988697
4,1,4,16,1.085413012117652
4,1,4,17,1.1199375665304157
4,1,4,18,1.1913644365494047
4,1,4,19,1.1160716308074856
4,1,4,20,0.9061574820093707
4,1,4,21,0.8795022036626947
4,1,4,22,0.9500725849359458
4,1,4,23,0.9528680677082699
4,1,4,24,1.1244580591657067
4,1,4,25,0.9063980119613964
4,1,4,26,1.206146097296233
4,1,4,27,1.0232191307772482
4,1,4,28,1.0064459295076724
4,1,4,29,0.8839880496387498
4,1,4,30,0.9731821947468946
4,1,5,1,0.6878470667686927
4,1,5,2,0.7256696589064531
4,1,5,3,0.9231900711854242
4,1,5,4,1.204770433047468
4,1,5,5,1.213009120105544
4,1,5,6,0.8854020566071288
4,1,5,7,0.9429040119157388
4,1,5,8,1.1908324955410383
4,1,5,9,1.1020807600833684
4,1,5,10,1.091275989982494
4,1,5,11,1.0670221673199276
4,1,5,12,0.774375452622287
4,1,5,13,0.783953922890101
4,1,5,14,0.9609919530329072
4,1,5,15,1.0085665600687854
4,1,5,16,0.9150969897149046
4,1,5,17,0.980077143368579
4,1,5,18,1.1604920929021714
4,1,5,19,0.8688676095159062
4,1,5,20,0.9885742066094558
4,1,5,21,0.8352887894764471
4,1,5,22,1.006310521336528
4,1,5,23,1.03749585812016
4,1,5,24,1.023063073865489
4,1,5,25,0.9479481317334484
4,1,5,26,1.2564690425545963
4,1,5,27,1.0891651589556766
4,1,5,28,0.8525906234980631
4,1,5,29,0.9646507554140697
4,1,5,30,0.9462831912468062
4,1,6,1,0.6715287635575682
4,1,6,2,0.7248234473613787
4,1,6,3,0.8856088487904594
4,1,6,4,1.0118109812854033
4,1,6,5,1.0934905810583935
4,1,6,6,0.8005253722520722
4,1,6,7,0.9777876463279189
4,1,6,8,1.0613686496099164
4,1,6,9,1.220230341561102
4,1,6,10,0.9990659416276382
4,1,6,11,0.8859038407794415
4,1,6,12,0.9203987818754455
4,1,6,13,0.8501789256083704
4,1,6,14,1.0434969912886454
4,1,6,15,1.1809301550361215
4,1,6,16,1.1898918525186488
4,1,6,17,0.9991753457271798
4,1,6,18,1.1398638437875246
4,1,6,19,1.0031895366903634
4,1,6,20,0.9056157485033481
4,1,6,21,0.7547244057878133
4,1,6,22,0.8641702064967337
4,1,6,23,0.9844713344588273
4,1,6,24,1.1119084402049197
4,1,6,25,1.0006267238678475
4,1,6,26,1.0941422541114505
4,1,6,27,0.9332697801042333
4,1,6,28,1.006369894487607
4,1,6,29,1.1203278421705185
4,1,6,30,1.0573449413684248
4,1,7,1,0.6213142764919168
4,1,7,2,0.7513840674323532
4,1,7,3,0.9880710411900098
4,1,7,4,1.1877475789937406
4,1,7,5,1.0322458013153746
4,1,7,6,1.0223123005050234
4,1,7,7,1.0382248409974568
4,1,7,8,1.0562252445262275
4,1,7,9,1.2086033062555332
4,1,7,10,0.9758775015092984
4,1,7,11,0.9938777639463187
4,1,7,12,0.8338752355461113
4,1,7,13,0.8860039723759432
4,1,7,14,0.8070409694512151
4,1,7,15,1.0762073775634358
4,1,7,16,0.9246430625549492
4,1,7,17,0.95579708708574
4,1,7,18,1.0983548833232863
4,1,7,19,0.9266685899935715
4,1,7,20,0.8563395753629729
4,1,7,21,0.8113942504808076
4,1,7,22,0.9750965213510843
4,1,7,23,1.0637484441667242
4,1,7,24,1.0237238956673416
4,1,7,25,1.0457574596024535
4,1,7,26,1.2631193383364394
4,1,7,27,0.9132529317143058
4,1,7,28,0.9228170736795548
4,1,7,29,0.9516048972070272
4,1,7,30,0.991754065653156
4,1,8,1,0.6400000681859621
4,1,8,2,0.8330027737593286
4,1,8,3,0.960915772027229
4,1,8,4,1.0598977003446792
4,1,8,5,1.1069826959838562
4,1,8,6,1.0554804699803109
4,1,8,7,1.1307840550513741
4,1,8,8,1.2610608894012172
4,1,8,9,1.1530583087681594
4,1,8,10,1.0423082477376613
4,1,8,11,0.9909702054812274
4,1,8,12,0.965527015798044
4,1,8,13,0.8645640643720303
4,1,8,14,0.9349922887110459
4,1,8,15,1.0477850421646886
4,1,8,16,0.8273452801811196
4,1,8,17,1.1390710110516187
4,1,8,18,1.1898977920514344
4,1,8,19,0.9441091502016192
4,1,8,20,0.9507251577145956
4,1,8,21,0.8751120165447451
4,1,8,22,0.7507645460010367
4,1,8,23,0.8016209749044273
4,1,8,24,1.1179942862591026
4,1,8,25,0.9013635581952608
4,1,8,26,1.2003794500545433
4,1,8,27,1.0065235613152432
4,1,8,28,1.0883188836277682
4,1,8,29,0.9924551262398931
4,1,8,30,0.9174917217309622
5,1,1,1,0.4390485052181792
5,1,1,2,0.46119938608407773
5,1,1,3,0.5139280095342327
5,1,1,4,0.5057382436179835
5,1,1,5,0.7196024375022874
5,1,1,6,0.842003580707976
5,1,1,7,0.9973916298897891
5,1,1,8,0.9721452873264134
5,1,1,9,1.1421940808234958
5,1,1,10,0.9190024845373872
5,1,1,11,1.1418569141768402
5,1,1,12,0.7848011805541821
5,1,1,13,1.0334426292746086
5,1,1,14,0.7191184867081353
5,1,1,15,0.9447453004812604
5,1,1,16,0.6113862679378064
5,1,1,17,0.8278111113451725
5,1,1,18,0.797714843278308
5,1,1,19,0.7713524784367944
5,1,1,20,0.8022525298051629
5,1,1,21,0.796914759838253
5,1,1,22,0.687530349654855
5,1,1,23,1.2169539636644544
5,1,1,24,1.1612441574901395
5,1,1,25,0.8957776434574656
5,1,1,26,0.8109909201584403
5,1,1,27,0.8809293641560596
5,1,1,28,1.0754416956128376
5,1,1,29,1.1183088287216143
5,1,1,30,0.8103334786799152
5,1,2,1,0.3972519381873615
5,1,2,2,0.4678672180131665
5,1,2,3,0.5381344528594917
5,1,2,4,0.5268742975478432
5,1,2,5,0.6974729383745242
5,1,2,6,0.7908101351196057
5,1,2,7,0.9255892082235282
5,1,2,8,0.9049304703429466
5,1,2,9,1.070384501059067
5,1,2,10,0.8846839291697294
5,1,2,11,1.1760631253880431
5,1,2,12,0.6987580499204604
5,1,2,13,0.9644414659607894
5,1,2,14,0.7232132311284816
5,1,2,15,1.0188393699887452
5,1,2,16,0.6028841184368854
5,1,2,17,0.8177246550533004
5,1,2,18,0.7979034392056376
5,1,2,19,0.7951138424367992
5,1,2,20,0.7693134547123954
5,1,2,21,0.8560864100549328
5,1,2,22,0.6874010819871716
5,1,2,23,1.2315565049299948
5,1,2,24,1.2486353197700255
5,1,2,25,0.8973262375631028
5,1,2,26,0.8043858911459683
5,1,2,27,0.8834078002363592
5,1,2,28,1.031010875199245
5,1,2,29,1.040802743270723
5,1,2,30,0.8110715711660121
6,1,1,1,0.7519047931021156
6,1,1,2,0.9243836319698606
6,1,1,3,0.9393793953705821
6,1,1,4,0.8911885469900762
6,1,1,5,1.0609656018647757
6,1,1,6,0.9259991129318411
6,1,1,7,0.9590641873755322
6,1,1,8,0.8003402017361625
6,1,1,9,0.8889913866173396
6,1,1,10,0.9412677660479405
6,1,1,11,1.0629039419431474
6,1,1,12,0.9669584359141931
6,1,1,13,1.1789662679049273
6,1,1,14,0.9676550158171264
6,1,1,15,1.0165616309837486
6,1,1,16,0.8262653295373259
6,1,1,17,0.921457470774387
6,1,1,18,0.9916188127069696
6,1,1,19,0.971140876169544
6,1,1,20,1.177003917579908
6,1,1,21,0.9015899356062091
6,1,1,22,0.7717194072266644
6,1,1,23,0.9533215788348879
6,1,1,24,0.999770287430633
6,1,1,25,0.999259073033917
6,1,1,26,0.8913446748560442
6,1,1,27,1.1414480475415125
6,1,1,28,1.1485659588496593
6,1,1,29,1.204836211682745
6,1,1,30,1.1129565501007006
6,1,2,1,0.7565953480273104
6,1,2,2,0.9591319583459175
6,1,2,3,0.916870164281691
6,1,2,4,0.9333151740736396
6,1,2,5,1.0467735638103535
6,1,2,6,0.9072825956377633
6,1,2,7,0.872100421683053
6,1,2,8,0.8165281609826973
6,1,2,9,0.8953746462473245
6,1,2,10,0.9478211498109659
6,1,2,11,1.0570279605065003
6,1,2,12,0.9971577480577031
6,1,2,13,1.2510257407694705
6,1,2,14,0.9239420632983688
6,1,2,15,0.9321445055613287
6,1,2,16,0.8047064907126682
6,1,2,17,0.967428235938262
6,1,2,18,1.0332701310916463
6,1,2,19,0.9626977370513492
6,1,2,20,1.1290184376414705
6,1,2,21,0.8985689562234556
6,1,2,22,0.7846985349947018
6,1,2,23,0.8834807281165749
6,1,2,24,1.0531279037403178
6,1,2,25,1.0120451653303575
6,1,2,26,0.8894911409813092
6,1,2,27,1.110944976227245
6,1,2,28,1.1370560220381307
6,1,2,29,1.1422861062121612
6,1,2,30,1.0453761457678739
6,1,3,1,0.8018539420624256
6,1,3,2,0.9565480414315921
6,1,3,3,0.9711621719568881
6,1,3,4,0.8992048679104614
6,1,3,5,0.9843151230922577
6,1,3,6,0.9401468636296715
6,1,3,7,0.9615896456580576
6,1,3,8,0.8506526849897393
6,1,3,9,0.9227567400328247
6,1,3,10,0.9172351290600502
6,1,3,11,1.0155629620075466
6,1,3,12,0.9387024586009056
6,1,3,13,1.1244068701226202
6,1,3,14,1.009659043056054
6,1,3,15,0.8918010274084913
6,1,3,16,0.847843292817041
6,1,3,17,0.9259975027971511
6,1,3,18,0.9223744619770691
6,1,3,19,0.9895303569300935
6,1,3,20,1.1031081649420633
6,1,3,21,0.9230477301203158
6,1,3,22,0.7745537456128788
6,1,3,23,0.9306668032232479
6,1,3,24,0.9285333114805244
6,1,3,25,1.0126644289396278
6,1,3,26,0.882034225940369
6,1,3,27,1.1132863465806164
6,1,3,28,1.0633904218172106
6,1,3,29,1.080970612258595
6,1,3,30,1.0626912995276352
6,1,4,1,0.7887365421720121
6,1,4,2,0.9682357062463898
6,1,4,3,0.953191376952188
6,1,4,4,0.9220362048441609
6,1,4,5,1.030391747522617
6,1,4,6,0.9025927925523711
6,1,4,7,0.9308779677532077
6,1,4,8,0.838798834428176
6,1,4,9,0.8985436820770029
6,1,4,10,0.9692041645128671
6,1,4,11,0.9908314847371889
6,1,4,12,0.933676461185232
6,1,4,13,1.1414899571531314
6,1,4,14,0.9717680292532832
6,1,4,15,0.8923733911742566
6,1,4,16,0.8174050317472015
6,1,4,17,0.9331842231574994
6,1,4,18,0.9526967071056224
6,1,4,19,0.9480224379161023
6,1,4,20,1.1265726014327584
6,1,4,21,0.9159370211731406
6,1,4,22,0.7952480437847733
6,1,4,23,0.891722800966419
6,1,4,24,0.976874026656024
6,1,4,25,0.9924056847145961
6,1,4,26,0.8958242586035333
6,1,4,27,1.0852938006211352
6,1,4,28,1.0637243546920216
6,1,4,29,1.0899804943716478
6,1,4,30,1.0610028870282326
6,1,5,1,0.760894550135182
6,1,5,2,0.9320686981399771
6,1,5,3,0.9415093670654489
6,1,5,4,0.9104958918522048
6,1,5,5,1.0620227669574325
6,1,5,6,0.9033686013307833
6,1,5,7,0.9311895162142089
6,1,5,8,0.8183708929254203
6,1,5,9,0.9049613022008844
6,1,5,10,0.9203025955520988
6,1,5,11,1.0535781239481428
6,1,5,12,0.9759575104962059
6,1,5,13,1.1989383025733515
6,1,5,14,0.9407155884380589
6,1,5,15,0.9677756015495564
6,1,5,16,0.8152568870853294
6,1,5,17,0.9367445997218073
6,1,5,18,0.9713206142016799
6,1,5,19,0.9820269661964973
6,1,5,20,1.1628712971375106
6,1,5,21,0.9155995471299532
6,1,5,22,0.7727653793523984
6,1,5,23,0.9155163525612031
6,1,5,24,1.0015820420534882
6,1,5,25,1.007115397069648
6,1,5,26,0.8883554635629303
6,1,5,27,1.1211890818803012
6,1,5,28,1.11370873797481
6,1,5,29,1.1582479902518976
6,1,5,30,1.081925417369424
6,1,6,1,0.7805081968468068
6,1,6,2,0.9327566996057302
6,1,6,3,0.981083911809572
6,1,6,4,0.9243392209839723
6,1,6,5,0.9549374875198267
6,1,6,6,0.9345234609954973
6,1,6,7,0.9579336714388411
6,1,6,8,0.8319888650320076
6,1,6,9,0.9406580413477708
6,1,6,10,0.9405175818707429
6,1,6,11,0.9991487196312497
6,1,6,12,0.9312113313231076
6,1,6,13,1.1218085897214578
6,1,6,14,0.9930829870924424
6,1,6,15,0.8990217821485347
6,1,6,16,0.8526630162458745
