treatment,sigma,num_populations,migration_rate,alpha,lambda,carrying_capacity,metapopulation_generator,number_of_timesteps
1,1.0,2,0.0,0.0,1.0,1.0,get_random_metapopulation,300
2,1.0,3,0.0,0.0,1.0,1.0,get_random_metapopulation,300
3,1.0,4,0.0,0.0,1.0,1.0,get_random_metapopulation,300
4,1.0,5,0.0,0.0,1.0,1.0,get_random_metapopulation,300
5,1.0,6,0.0,0.0,1.0,1.0,get_random_metapopulation,300
6,1.0,7,0.0,0.0,1.0,1.0,get_random_metapopulation,300
7,1.0,8,0.0,0.0,1.0,1.0,get_random_metapopulation,300
8,1.0,9,0.0,0.0,1.0,1.0,get_random_metapopulation,300
9,1.0,10,0.0,0.0,1.0,1.0,get_random_metapopulation,300
10,1.0,11,0.0,0.0,1.0,1.0,get_random_metapopulation,300
11,1.0,12,0.0,0.0,1.0,1.0,get_random_metapopulation,300
12,1.0,13,0.0,0.0,1.0,1.0,get_random_metapopulation,300
13,1.0,14,0.0,0.0,1.0,1.0,get_random_metapopulation,300
14,1.0,15,0.0,0.0,1.0,1.0,get_random_metapopulation,300
15,1.0,16,0.0,0.0,1.0,1.0,get_random_metapopulation,300
16,1.0,17,0.0,0.0,1.0,1.0,get_random_metapopulation,300
17,1.0,18,0.0,0.0,1.0,1.0,get_random_metapopulation,300
18,1.0,19,0.0,0.0,1.0,1.0,get_random_metapopulation,300
19,1.0,20,0.0,0.0,1.0,1.0,get_random_metapopulation,300
20,1.0,21,0.0,0.0,1.0,1.0,get_random_metapopulation,300
21,1.0,22,0.0,0.0,1.0,1.0,get_random_metapopulation,300
22,1.0,23,0.0,0.0,1.0,1.0,get_random_metapopulation,300
23,1.0,24,0.0,0.0,1.0,1.0,get_random_metapopulation,300
24,1.0,25,0.0,0.0,1.0,1.0,get_random_metapopulation,300
25,1.0,2,0.01,0.0,1.0,1.0,get_random_metapopulation,300
26,1.0,3,0.01,0.0,1.0,1.0,get_random_metapopulation,300
27,1.0,4,0.01,0.0,1.0,1.0,get_random_metapopulation,300
28,1.0,5,0.01,0.0,1.0,1.0,get_random_metapopulation,300
29,1.0,6,0.01,0.0,1.0,1.0,get_random_metapopulation,300
30,1.0,7,0.01,0.0,1.0,1.0,get_random_metapopulation,300
31,1.0,8,0.01,0.0,1.0,1.0,get_random_metapopulation,300
32,1.0,9,0.01,0.0,1.0,1.0,get_random_metapopulation,300
33,1.0,10,0.01,0.0,1.0,1.0,get_random_metapopulation,300
34,1.0,11,0.01,0.0,1.0,1.0,get_random_metapopulation,300
35,1.0,12,0.01,0.0,1.0,1.0,get_random_metapopulation,300
36,1.0,13,0.01,0.0,1.0,1.0,get_random_metapopulation,300
37,1.0,14,0.01,0.0,1.0,1.0,get_random_metapopulation,300
38,1.0,15,0.01,0.0,1.0,1.0,get_random_metapopulation,300
39,1.0,16,0.01,0.0,1.0,1.0,get_random_metapopulation,300
40,1.0,17,0.01,0.0,1.0,1.0,get_random_metapopulation,300
41,1.0,18,0.01,0.0,1.0,1.0,get_random_metapopulation,300
42,1.0,19,0.01,0.0,1.0,1.0,get_random_metapopulation,300
43,1.0,20,0.01,0.0,1.0,1.0,get_random_metapopulation,300
44,1.0,21,0.01,0.0,1.0,1.0,get_random_metapopulation,300
45,1.0,22,0.01,0.0,1.0,1.0,get_random_metapopulation,300
46,1.0,23,0.01,0.0,1.0,1.0,get_random_metapopulation,300
47,1.0,24,0.01,0.0,1.0,1.0,get_random_metapopulation,300
48,1.0,25,0.01,0.0,1.0,1.0,get_random_metapopulation,300
49,1.0,2,0.02,0.0,1.0,1.0,get_random_metapopulation,300
50,1.0,3,0.02,0.0,1.0,1.0,get_random_metapopulation,300
51,1.0,4,0.02,0.0,1.0,1.0,get_random_metapopulation,300
52,1.0,5,0.02,0.0,1.0,1.0,get_random_metapopulation,300
53,1.0,6,0.02,0.0,1.0,1.0,get_random_metapopulation,300
54,1.0,7,0.02,0.0,1.0,1.0,get_random_metapopulation,300
55,1.0,8,0.02,0.0,1.0,1.0,get_random_metapopulation,300
56,1.0,9,0.02,0.0,1.0,1.0,get_random_metapopulation,300
57,1.0,10,0.02,0.0,1.0,1.0,get_random_metapopulation,300
58,1.0,11,0.02,0.0,1.0,1.0,get_random_metapopulation,300
59,1.0,12,0.02,0.0,1.0,1.0,get_random_metapopulation,300
60,1.0,13,0.02,0.0,1.0,1.0,get_random_metapopulation,300
61,1.0,14,0.02,0.0,1.0,1.0,get_random_metapopulation,300
62,1.0,15,0.02,0.0,1.0,1.0,get_random_metapopulation,300
