treatment,replicate,summary_stat
1,1,0.22493602166344845
1,2,-0.005258388215087472
1,3,0.12181603063424434
1,4,0.15491798839403098
1,5,0.27719086827455675
1,6,0.39548120421087374
1,7,0.38981641354147156
1,8,1.3879527833003948e-5
1,9,-0.04318998630469827
1,10,0.2674966950536019
1,11,0.18098420218045919
1,12,0.022463163901070223
1,13,0.11598796966141796
1,14,-0.26563836161809323
1,15,-0.08371559255809698
1,16,0.22107865158185433
1,17,-0.08092179544432213
1,18,0.2758066959164311
1,19,0.38066969158331676
1,20,0.11747846801670113
1,21,0.07754397948635731
1,22,-0.4739279455290624
1,23,0.22350588742672386
1,24,0.0729485253284711
1,25,0.15103917699380465
1,26,-0.0404686854802457
1,27,-0.03594689016258586
1,28,0.2908101375536516
1,29,0.07288361767932959
1,30,0.12511414895688427
1,31,0.2473100842375538
1,32,0.47075637651116703
1,33,0.12174667916081201
1,34,0.056749415432976104
1,35,0.0740328080896709
1,36,0.06055060263089134
1,37,0.06515130656221649
1,38,0.1909813542997688
1,39,-0.10287865880848121
1,40,0.2277910795259022
1,41,0.4243683441614431
1,42,0.10250623092692723
1,43,0.46936463072835954
1,44,-0.5099922367121312
1,45,-0.3884497747425926
1,46,-0.3087974539893347
1,47,0.08652598659921543
1,48,0.19417548376003796
1,49,-0.07995190095573163
1,50,-0.2519507454777261
2,1,0.208806071632202
2,2,0.1961338173530641
2,3,-0.04741206145091422
2,4,0.07878370048963308
2,5,-0.1439131515744722
2,6,0.12304709190413725
2,7,-0.0836339058141407
2,8,-0.032937534195270096
2,9,-0.21585136165548444
2,10,0.02384203068460619
2,11,0.3274926804822407
2,12,0.015606293765158244
2,13,0.04382137734923038
2,14,0.08196553399738088
2,15,-0.1472941534339576
2,16,-0.03517800473956389
2,17,0.04094505416192949
2,18,0.034559133446000784
2,19,0.10128466615408761
2,20,0.003849317315102028
2,21,-0.02620370368850668
2,22,0.2882459639964289
2,23,0.4568243216999799
2,24,0.03645692048487705
2,25,-0.14288429781224674
2,26,-0.02617118719768015
2,27,0.21447280410014116
2,28,0.17309205310956446
2,29,0.09897287067981993
2,30,0.2056288043226219
2,31,0.009417776027519439
2,32,0.5117791237715953
2,33,-0.07619198110009073
2,34,0.039035418694862066
2,35,0.05975772737406768
2,36,-0.11179428424404049
2,37,-0.02915483541281079
2,38,0.05372133483468011
2,39,0.21870171164389487
2,40,0.13449861055216075
2,41,-0.13798486448079775
2,42,0.16520241140241163
2,43,0.1137934702808972
2,44,-0.12760881223458015
2,45,0.2174435820594061
2,46,-0.015320802093840515
2,47,-0.09371041249532804
2,48,0.016632439093112867
2,49,0.03496624918225357
2,50,0.2720639088812428
3,1,0.011170796588085478
3,2,0.05906305852576637
3,3,-0.041480720706991166
3,4,0.17929276214574452
3,5,0.07279652536853987
3,6,0.19347148211173582
3,7,-0.09142553832031601
3,8,-0.12842049944514633
3,9,0.11059769626986495
3,10,0.03470639496402051
3,11,0.07405997226113459
3,12,0.04597811482322387
3,13,0.1431081537604482
3,14,-0.002539456294616964
3,15,-0.10277319568274133
3,16,-0.014757068821922367
3,17,-0.08690001590512098
3,18,-0.03881716426953116
3,19,0.07462282475575309
3,20,-0.019692259245099503
3,21,-0.027971764163390405
3,22,0.035539866810044014
3,23,-0.04939217738475412
3,24,0.16834686357658615
3,25,0.0682514433740441
3,26,0.08885234722325581
3,27,0.14928802219578427
3,28,0.025500285624189267
3,29,0.2143072119156442
3,30,0.046727715321280096
3,31,0.08188913722877884
3,32,0.018298495224142005
3,33,0.1317550133394874
3,34,0.018810763287545277
3,35,0.06520977924967168
3,36,-0.1281856354408076
3,37,0.08365823867780885
3,38,0.2724237482283671
3,39,0.05900260977310848
3,40,0.09995108421316257
3,41,0.2576433284658625
3,42,-0.014362490917972917
3,43,0.2148953106335845
3,44,0.059005876268145886
3,45,0.11236506549484983
3,46,0.06155036083921952
3,47,0.08931391925995052
3,48,-0.053472655811772435
3,49,0.1410703573311645
3,50,0.033031083794893785
4,1,-0.039101720147389864
4,2,0.23538664294780412
4,3,0.18372141321181887
4,4,0.16531700950866624
4,5,0.06415253245660975
4,6,0.06415740628439255
4,7,0.2362905459240765
4,8,0.028066697614896396
4,9,0.0024178082057966315
4,10,0.10173483085460966
4,11,0.040182108487416476
4,12,0.2450941406587412
4,13,0.017650902655250763
4,14,0.0005230218743730433
4,15,0.08093333431647765
4,16,0.0814925753884908
4,17,0.1321796792936316
4,18,0.07820032419944718
4,19,-0.0866242726346792
4,20,0.10080755898579112
4,21,0.08255033276007051
4,22,0.20619321803518553
4,23,0.06260532107573588
4,24,0.15436770153474044
4,25,-0.004404813856243428
4,26,0.0901031801986368
4,27,-0.06746388314590766
4,28,0.05173651227656573
4,29,0.0027522811350453426
4,30,0.08227470781571918
4,31,0.09338305945243228
4,32,-0.02610993620714097
4,33,-0.04027774648906371
4,34,0.08252275441129073
4,35,0.06361487323516339
4,36,0.0904437341712425
4,37,0.00799308290639727
4,38,-0.07375695381161304
4,39,-0.0471443005082041
4,40,0.3548004923110192
4,41,0.0199769350912931
4,42,0.020345170775685553
4,43,-0.045734399020756586
4,44,-0.048461445511921684
4,45,-0.06506410518263364
4,46,0.1472025077992744
4,47,0.0467796145942621
4,48,0.006531302724959981
4,49,0.09993932659911454
4,50,-0.07252316130471191
5,1,0.07418624103921223
5,2,0.014779177613645632
5,3,0.04851359498790606
5,4,0.1950301037147842
5,5,0.04288184208903006
5,6,0.24978242641527176
5,7,0.05341331609309314
5,8,0.008783070746911637
5,9,0.16776835458003048
5,10,0.006590996455965342
5,11,0.13499766172798347
5,12,0.058226350968493865
5,13,-0.021236854283755584
5,14,0.02488073420188901
5,15,0.06393387435290208
5,16,0.08722219536318068
5,17,0.01506459038939228
5,18,0.05229947124820468
5,19,0.07269332089173339
5,20,-0.013776693652481575
5,21,0.12461758475273017
5,22,0.09624733407169167
5,23,0.005676158725196194
5,24,0.0225727033152626
5,25,-0.047125699122609443
5,26,0.0652294849179952
5,27,0.08074183670272549
5,28,-0.01617731141394454
5,29,0.1238082921561199
5,30,0.06666870792384584
5,31,0.07546935459465613
5,32,0.049549255010112314
5,33,0.09532526686677205
5,34,0.0081909742090999
5,35,0.0503678666728451
5,36,0.16486062588497002
5,37,-0.05548707616980742
5,38,0.009129397554742964
5,39,0.0674011278206743
5,40,-0.011879846726674777
5,41,-0.02920038796626763
5,42,0.16351701794470241
5,43,-0.022469478285883582
5,44,0.008987025390354323
5,45,0.20263878523463114
5,46,0.014357273519209473
5,47,0.16147007794603582
5,48,0.1628289513526483
5,49,0.0382355979286828
5,50,0.035128665785431355
6,1,-0.01497991218640302
6,2,0.014847757577457392
6,3,0.0014095305417204888
6,4,0.05421993661449505
6,5,0.07712220852489934
6,6,0.02634067137293994
6,7,-0.05906192731810757
6,8,0.017601342262766346
6,9,-0.016117780955974974
6,10,-0.013989172457509904
6,11,0.09107047444690594
6,12,0.08822589519421967
6,13,0.00841278812691645
6,14,0.0864337713418928
6,15,-0.02463528986947478
6,16,0.07211416030169088
6,17,-0.08292080304211877
6,18,0.04044584520545007
6,19,0.06402979268315656
6,20,-0.046824357410819376
6,21,0.035129659597837884
6,22,0.06649753044855548
6,23,0.1831724763894477
6,24,0.12255593949193196
6,25,0.07868959408667005
6,26,0.10182516183524556
6,27,-0.01616056543405336
6,28,0.020197539246078693
6,29,0.1497871504309502
6,30,0.08159620488584578
6,31,-0.0053985052140244835
6,32,0.14001615973502396
6,33,0.01812295315891028
6,34,0.19343946161271655
6,35,0.07127289487839633
6,36,0.01601808210045072
6,37,0.026026453780910303
6,38,0.04727818985392452
6,39,0.08406844610793747
6,40,0.13956026712833078
6,41,0.08159058121895453
6,42,-0.046827313936182724
6,43,0.0020973404053359892
6,44,0.010769096448440388
6,45,-0.05853347957566549
6,46,0.015602379193975653
6,47,0.007397644152941489
6,48,0.034867099678901545
6,49,0.034935747575276
6,50,0.1180878842899731
7,1,0.13357359237498298
7,2,0.03527893961980649
7,3,0.0017468171016414738
7,4,0.08849825661497128
7,5,-0.0502887767597769
7,6,-0.00524538601590238
7,7,-0.021198131221275333
7,8,0.11794555932801416
7,9,-0.007049747527760891
7,10,0.00606451764461164
7,11,-0.008936206591659723
7,12,0.10110108634265898
7,13,0.11200290975854363
7,14,0.15044968653899873
7,15,0.2155791553336238
7,16,0.03171832938503304
7,17,0.05509862526506499
7,18,0.0388045276186322
7,19,0.16772532202691814
7,20,0.1852800383242064
7,21,0.0818800035090419
7,22,-0.0028889907387875066
7,23,0.1391485388214964
7,24,0.05291023435603092
7,25,0.0817234002574911
7,26,-0.0022828937777243396
7,27,0.17467659307415825
7,28,0.06826756646884959
7,29,0.1897340951092578
7,30,0.04981565137629892
7,31,0.17626212966549057
7,32,0.08368635823762725
7,33,-0.011763828146103167
7,34,0.13721166598851858
7,35,0.17962002243198702
7,36,0.10279017063531705
7,37,0.17019167604305138
7,38,0.13890776935476276
7,39,-0.009012392638986655
7,40,0.05230406802697742
7,41,0.06781232048933865
7,42,0.115263555519222
7,43,0.10680205493432746
7,44,0.1101274771853038
7,45,0.05165862865017173
7,46,0.03066383935810323
