treatment,replicate,summary_stat
1,1,0.22068776472547838
1,2,0.10758263389129727
1,3,-0.06875915697158548
1,4,0.05832339179843833
1,5,0.31550183998984793
1,6,0.23159353258489518
1,7,0.0412098622405976
1,8,0.043748429128189784
1,9,0.17588898166748795
1,10,-0.21076343618149057
1,11,0.2496242061154924
1,12,0.30286558822897836
1,13,0.6345214198060467
1,14,-0.154009985143242
1,15,0.46382692189085517
1,16,0.7189974743438972
1,17,0.07727103382084644
1,18,0.27786304735184036
1,19,0.9122494405764635
1,20,0.2213400639676079
1,21,0.11203254734666662
1,22,0.39734196158780827
1,23,-0.15958652086341688
1,24,-0.30209914350862027
1,25,0.22466215676167633
1,26,-0.37575471299923774
1,27,0.1899742432308879
1,28,0.14491861700724437
1,29,0.3423835870403421
1,30,-0.03935909056585128
1,31,0.47966448401849116
1,32,0.3464747580634509
1,33,0.12718909817848514
1,34,0.15365308388014237
1,35,-0.04325931369410177
1,36,0.6105808028376783
1,37,0.09888805586537265
1,38,0.0491338546427851
1,39,0.526123844586332
1,40,0.25308164367524166
1,41,0.05566300742819893
1,42,0.3410462145379871
1,43,0.7955339069647598
1,44,0.747233359978409
1,45,-0.04708456510379971
1,46,0.28820352698428425
1,47,0.024138631342620686
1,48,0.26422572608887246
1,49,0.15750650126097515
1,50,0.18341735166254505
2,1,0.434406518470867
2,2,0.47603846290858004
2,3,-0.08696464064198316
2,4,-0.10680313809696876
2,5,0.23590820365192824
2,6,0.5588360526307512
2,7,0.2546022464591839
2,8,0.3302371193132646
2,9,0.5724789953634858
2,10,0.45617473832441474
2,11,0.37611543338081094
2,12,0.6247032818179171
2,13,0.3474647931941347
2,14,0.5532021400976624
2,15,0.08069282110228615
2,16,0.19080705418455218
2,17,0.6053483513541459
2,18,-0.07960911851089397
2,19,0.2559820676721211
2,20,0.22448628000713824
2,21,0.47601806165676464
2,22,0.12449205774316159
2,23,0.2178983949112544
2,24,0.5136455813841261
2,25,0.08274747034416399
2,26,0.4257739233799364
2,27,0.24621577260632913
2,28,0.3601052921890607
2,29,0.37432282857341576
2,30,0.12077813895746298
2,31,0.013710174014168783
2,32,0.3875088080258317
2,33,0.4478809150442968
2,34,0.5127315273298971
2,35,0.5030678909249722
2,36,0.22571293704062304
2,37,0.7917923461164895
2,38,0.3037099403336147
2,39,0.0025535447895338997
2,40,0.18506079892192867
2,41,0.1536568373105535
2,42,0.6151773475565778
2,43,0.468593833904912
2,44,0.3827667904149437
2,45,-0.031947166768996275
2,46,0.11361822954782456
2,47,0.7293077013836354
2,48,0.4312212005840733
2,49,0.015208144819672063
2,50,0.43722345459963163
3,1,0.7588660773386804
3,2,0.30056114832547215
3,3,0.6951673032104533
3,4,0.3695839059648606
3,5,0.6562135399388214
3,6,0.5885374764795037
3,7,0.4322750549780817
3,8,0.6257596691118318
3,9,0.26723154821075634
3,10,0.40442435520340225
3,11,0.5520517138701271
3,12,0.719741814280614
3,13,0.28800451674903793
3,14,0.40142394292775924
3,15,0.7743679918382006
3,16,0.354108806558292
3,17,0.1526996978416606
3,18,0.5582370093039589
3,19,0.3175885155033329
3,20,0.2977369742130899
3,21,0.3754960079934815
3,22,0.4299938590880967
3,23,0.35791504578784256
3,24,0.6452046088899597
3,25,0.3551168971622707
3,26,0.41674796512387063
3,27,0.20839575729286458
3,28,0.33654350500033564
3,29,0.24285790595764167
3,30,-0.10801509447468326
3,31,0.4379087751825338
3,32,-0.15985501002298372
3,33,0.5536091991369126
3,34,0.25049615698621175
3,35,0.2537695274318533
3,36,0.2832532642458111
3,37,-0.3039428004146461
3,38,0.4190586799514941
3,39,0.11876269650883409
3,40,0.24133310902062294
3,41,0.41478079058141043
3,42,0.5613045119976092
3,43,0.29399092595799065
3,44,0.15825656409536687
3,45,0.09365427192555019
3,46,0.40170211003114
3,47,0.5056415873785022
3,48,0.003217766693238741
3,49,0.09516242866616774
3,50,0.2888344281023516
4,1,0.48669197127103014
4,2,0.5198160582413817
4,3,0.3371390066511824
4,4,0.5939489895220268
4,5,0.35281558031784194
4,6,-0.03513607668843482
4,7,0.5190482006203543
4,8,0.6500545312921895
4,9,0.49581814281530184
4,10,0.36339400765638735
4,11,0.4109492466233256
4,12,0.5714598749086032
4,13,0.6626050037789301
4,14,0.3627892265661126
4,15,0.1987988736303438
4,16,0.20104857987088368
4,17,0.7420533324794049
4,18,0.6599843974144767
4,19,0.4846263007995234
4,20,0.4216162580709357
4,21,0.37790638192633114
4,22,0.1909072414725159
4,23,0.4893341950841903
4,24,0.2783196806413972
4,25,0.7291805137735391
4,26,0.4937768837852404
4,27,0.14561333946654817
4,28,0.8126084972804936
4,29,0.17895951214773972
4,30,0.4932954540411108
4,31,0.35663433015245954
4,32,0.09772438223169162
4,33,0.29728250464233635
4,34,0.22816516769617168
4,35,0.6667770602775059
4,36,0.40159517249664095
4,37,0.5970135758680295
4,38,0.41804962510646965
4,39,0.2709515115924337
4,40,0.38716379954643965
4,41,0.26371716645668963
4,42,0.5894018297931041
4,43,0.6774933248461777
4,44,0.02107189029321353
4,45,0.5640926072581093
4,46,0.268849021336002
4,47,0.3668306397425388
4,48,0.14688947218009732
4,49,0.30774690691966383
4,50,0.4146582609630118
5,1,0.16832571913901956
5,2,0.3149503648957207
5,3,0.4753332742739809
5,4,0.576571220649832
5,5,0.5898368660150324
5,6,0.81153045133256
5,7,0.7171834991071521
5,8,0.4296328635876783
5,9,0.7912227699189501
5,10,0.8311699227287118
5,11,0.573357057426765
5,12,0.4926060897195945
5,13,0.6158759858780286
5,14,0.6615352379633452
5,15,0.21867665273563627
5,16,0.6661616620124838
5,17,0.38498888734629955
5,18,0.49726812285156496
5,19,0.30446316546321617
5,20,0.37805833669846295
